iter	Passed	Remaining
0	46	46757
1	47	23610
2	47	15843
3	47	11919
4	48	9577
5	48	8017
6	48	6900
7	48	6062
8	49	5409
9	50	4994
10	50	4560
11	50	4196
12	51	3888
13	51	3623
14	51	3396
15	51	3196
16	52	3020
17	52	2863
18	52	2723
19	52	2595
20	53	2481
21	53	2377
22	53	2281
23	53	2193
24	54	2113
25	54	2039
26	54	1970
27	54	1906
28	55	1846
29	55	1791
30	55	1739
31	55	1690
32	56	1644
33	56	1601
34	56	1560
35	56	1522
36	57	1485
37	57	1450
38	57	1418
39	57	1387
40	58	1357
41	58	1330
42	58	1304
43	58	1278
44	59	1255
45	59	1232
46	59	1210
47	59	1188
48	60	1166
49	60	1147
50	60	1128
51	60	1110
52	61	1092
53	61	1075
54	61	1059
55	61	1044
56	62	1029
57	62	1014
58	62	999
59	62	986
60	63	973
61	63	960
62	63	948
63	64	936
64	64	924
65	64	914
66	64	903
67	65	892
68	65	880
69	65	869
70	65	858
71	65	849
72	66	840
73	66	831
74	66	822
75	66	814
76	67	806
77	67	797
78	67	790
79	68	782
80	68	773
81	68	765
82	68	758
83	68	751
84	69	744
85	69	738
86	69	732
87	69	725
88	70	719
89	70	712
90	70	707
91	71	701
92	71	695
93	71	689
94	71	683
95	71	677
96	72	672
97	72	667
98	72	662
99	73	657
100	73	652
101	73	647
102	73	642
103	74	637
104	74	633
105	74	628
106	74	624
107	75	620
108	75	616
109	75	612
110	75	608
111	76	604
112	76	598
113	76	595
114	76	591
115	77	587
116	77	583
117	77	580
118	77	577
119	78	573
120	78	569
121	78	566
122	78	562
123	79	559
124	79	556
125	79	552
126	79	549
127	80	546
128	80	543
129	80	540
130	81	537
131	81	534
132	81	531
133	81	528
134	82	525
135	82	522
136	82	520
137	82	517
138	83	514
139	83	511
140	83	509
141	83	506
142	84	504
143	84	501
144	84	499
145	84	496
146	85	494
147	85	491
148	85	489
149	85	487
150	86	485
151	86	482
152	86	480
153	87	478
154	87	476
155	87	474
156	87	472
157	88	470
158	88	468
159	88	466
160	89	464
161	89	462
162	89	460
163	90	458
164	90	456
165	90	455
166	90	453
167	91	451
168	91	449
169	91	447
170	92	446
171	92	444
172	92	442
173	92	440
174	93	439
175	93	437
176	93	435
177	94	434
178	94	432
179	94	431
180	94	429
181	95	428
182	95	426
183	95	424
184	96	423
185	96	421
186	96	420
187	96	418
188	97	417
189	97	415
190	97	414
191	98	413
192	98	411
193	98	410
194	99	408
195	99	407
196	99	405
197	99	404
198	100	403
199	100	401
200	100	400
201	101	399
202	101	397
203	101	396
204	101	395
205	102	394
206	102	392
207	102	391
208	103	390
209	103	389
210	103	387
211	104	386
212	104	385
213	104	384
214	104	382
215	105	381
216	105	380
217	105	379
218	106	378
219	106	376
220	106	375
221	106	374
222	107	373
223	107	372
224	107	371
225	108	370
226	108	369
227	108	367
228	108	366
229	109	365
230	109	364
231	109	363
232	110	362
233	110	361
234	110	360
235	111	359
236	111	358
237	111	357
238	111	356
239	112	355
240	112	354
241	112	353
242	113	352
243	113	351
244	113	350
245	113	349
246	114	348
247	114	347
248	114	346
249	115	345
250	115	344
251	115	343
252	115	342
253	116	341
254	116	340
255	116	339
256	117	338
257	117	337
258	117	336
259	117	335
260	118	334
261	118	333
262	118	333
263	119	332
264	119	331
265	119	330
266	119	329
267	120	328
268	120	327
269	120	326
270	121	325
271	121	325
272	121	324
273	122	323
274	122	322
275	122	321
276	122	320
277	123	319
278	123	319
279	123	318
280	124	317
281	124	316
282	124	315
283	124	314
284	125	313
285	125	313
286	125	312
